Epoch,loss,mse,val_loss,val_mse
0,0.53019,0.17308,8.30546,0.81061
1,0.34761,0.09974,1.13054,0.25721
2,0.30005,0.0842,11.8317,0.81771
3,0.23703,0.06402,4.49161,0.74433
4,0.22117,0.05936,1.67051,0.53689
5,0.23396,0.06505,5.15367,0.7723
6,0.1962,0.05104,0.46334,0.14032
7,0.18412,0.04812,0.70902,0.22097
8,0.16381,0.04158,0.72998,0.15345
9,0.19875,0.0526,0.71016,0.2263
10,0.16717,0.04222,1.30133,0.506
11,0.18057,0.04856,0.31646,0.08831
12,0.1611,0.04151,0.78123,0.28014
13,0.18722,0.04873,1.68498,0.56791
14,0.17116,0.04536,0.31216,0.08325
15,0.12447,0.03089,0.30996,0.08748
16,0.13364,0.03413,0.20552,0.05411
17,0.11744,0.0295,0.49847,0.11469
18,0.14649,0.03983,0.28107,0.06912
19,0.12321,0.03173,0.17202,0.03952
20,0.1022,0.02542,0.16969,0.04352
21,0.08542,0.02119,0.16592,0.04254
22,0.10065,0.0262,0.1664,0.04256
23,0.11812,0.0307,0.2093,0.05732
24,0.09782,0.02481,0.15783,0.03726
25,0.09484,0.02362,0.15564,0.03831
26,0.16806,0.04335,0.61697,0.13492
27,0.1141,0.0293,0.36049,0.07977
28,0.11793,0.03172,0.36811,0.09785
29,0.07992,0.01946,0.24565,0.06355
30,0.10495,0.02656,0.6572,0.21272
31,0.07409,0.01797,0.11338,0.02785
32,0.09877,0.02555,0.22238,0.05494
33,0.08529,0.02101,0.1304,0.02975
34,0.05929,0.01423,0.07345,0.01763
35,0.0627,0.01452,0.08716,0.01998
36,0.0835,0.02158,0.22233,0.06622
37,0.0754,0.01905,0.38542,0.12977
38,0.0853,0.02212,0.72875,0.26233
39,0.07091,0.01786,0.24942,0.08034
40,0.06413,0.01622,0.08139,0.0194
41,0.0608,0.0146,0.07305,0.01983
42,0.04936,0.01182,0.05917,0.011
43,0.08979,0.02247,0.06587,0.01413
44,0.0865,0.02146,0.17763,0.0294
45,0.07302,0.0183,0.07418,0.016
46,0.05976,0.01487,0.03917,0.01009
47,0.04194,0.00996,0.04446,0.0117
48,0.03932,0.00966,0.03915,0.01029
