Epoch,loss,mse,val_loss,val_mse
0,0.48231,0.14777,14.52855,0.9552
1,0.25237,0.05564,3.59022,0.72409
2,0.17346,0.03347,1.30511,0.51341
3,0.13994,0.02703,0.56206,0.18623
4,0.12205,0.02459,0.24745,0.05517
5,0.10407,0.02102,0.2329,0.05029
6,0.10678,0.02315,0.15039,0.03499
7,0.08935,0.01929,0.14699,0.03422
8,0.08187,0.01782,0.14937,0.03425
9,0.08155,0.01806,0.15721,0.03521
10,0.08007,0.01815,0.13276,0.03099
11,0.0806,0.01855,0.1347,0.0319
12,0.07151,0.01611,0.32724,0.03795
13,0.07749,0.018,0.22441,0.03766
14,0.07391,0.01684,0.13857,0.03054
15,0.07334,0.01703,0.10867,0.02499
16,0.06461,0.01478,0.12819,0.02933
17,0.06903,0.01646,0.11622,0.02742
18,0.06114,0.01433,0.10135,0.02239
19,0.05863,0.01372,0.11506,0.02433
20,0.05916,0.01387,0.09974,0.02191
21,0.05571,0.01267,0.108,0.02538
22,0.05724,0.01321,0.10062,0.022
23,0.0544,0.01233,0.09949,0.02125
24,0.05455,0.01283,0.10082,0.02179
25,0.05822,0.01322,0.08949,0.01949
26,0.05039,0.0113,0.09262,0.01967
27,0.05333,0.01215,0.08899,0.01939
28,0.04958,0.01149,0.08193,0.01845
29,0.047,0.01077,0.08008,0.01753
30,0.05232,0.01198,0.09311,0.02184
31,0.05553,0.01275,0.07952,0.01652
32,0.04846,0.01124,0.08874,0.02015
33,0.04671,0.01105,0.08022,0.01687
34,0.04436,0.01043,0.07785,0.01533
35,0.04552,0.01076,0.08506,0.02091
36,0.04459,0.01038,0.06951,0.01446
37,0.04479,0.01055,0.06766,0.01442
38,0.04616,0.01093,0.06263,0.01385
39,0.0416,0.00995,0.06322,0.01516
40,0.04499,0.01137,0.06587,0.01566
41,0.04164,0.01,0.06118,0.01368
42,0.03808,0.00941,0.06399,0.01374
43,0.03928,0.00958,0.08184,0.01845
44,0.03954,0.0097,0.06125,0.01401
45,0.03511,0.00871,0.05234,0.01221
46,0.04472,0.01123,0.08786,0.01971
47,0.03785,0.00923,0.08302,0.01753
48,0.03573,0.00877,0.059,0.01313
49,0.03163,0.00798,0.05281,0.01205
50,0.02906,0.00742,0.05149,0.01179
51,0.03155,0.00796,0.05645,0.01197
52,0.03227,0.00835,0.06124,0.01461
53,0.02688,0.00685,0.05256,0.01281
54,0.0248,0.00655,0.05001,0.01199
55,0.02619,0.00686,0.04465,0.01018
56,0.02438,0.00641,0.04932,0.01168
57,0.02369,0.00631,0.06179,0.0145
58,0.02851,0.00738,0.0632,0.01329
59,0.02554,0.00684,0.04695,0.01031
60,0.02592,0.00681,0.04507,0.01052
61,0.02409,0.00627,0.04254,0.00972
62,0.02249,0.0061,0.04261,0.00992
63,0.02078,0.00549,0.04422,0.01035
64,0.02017,0.00537,0.04253,0.0099
65,0.02682,0.00713,0.05496,0.01246
66,0.02468,0.0066,0.04452,0.01009
67,0.02087,0.00565,0.04003,0.00949
68,0.01939,0.00533,0.03745,0.00911
69,0.01872,0.00518,0.03665,0.00884
70,0.0185,0.0051,0.03717,0.00874
71,0.0174,0.00481,0.04201,0.00939
72,0.01759,0.00485,0.03975,0.00936
73,0.01634,0.00456,0.03535,0.00824
74,0.01539,0.00432,0.03973,0.00923
75,0.01523,0.00432,0.04696,0.01028
76,0.01777,0.00498,0.04185,0.00916
77,0.01709,0.00487,0.04135,0.00956
78,0.01676,0.00478,0.039,0.00944
79,0.01501,0.00432,0.04117,0.00945
80,0.01605,0.00453,0.03957,0.00867
81,0.01771,0.00498,0.04606,0.01001
82,0.01871,0.00528,0.04547,0.00973
83,0.01795,0.00515,0.04441,0.00955
84,0.0157,0.00442,0.0424,0.00889
85,0.0147,0.00416,0.03556,0.00787
86,0.01367,0.00391,0.03533,0.00783
87,0.01287,0.00367,0.03631,0.00783
88,0.01254,0.00362,0.03681,0.00798
89,0.01293,0.00374,0.03581,0.00761
90,0.01326,0.00383,0.03737,0.008
91,0.01315,0.00387,0.03775,0.00822
92,0.01261,0.00359,0.03759,0.00802
93,0.0126,0.00362,0.03584,0.00769
94,0.01158,0.00333,0.03576,0.00757
95,0.0115,0.00331,0.03609,0.00773
96,0.01101,0.00317,0.03956,0.00831
97,0.01224,0.00353,0.03912,0.00828
98,0.01201,0.00344,0.03852,0.00815
99,0.01097,0.00319,0.03705,0.00784
100,0.01057,0.00306,0.03711,0.00772
101,0.01135,0.0033,0.03627,0.00788
102,0.01066,0.00314,0.03345,0.00724
103,0.01004,0.00296,0.03544,0.00745
104,0.01023,0.00298,0.03804,0.00773
105,0.00987,0.0029,0.03892,0.00783
106,0.01023,0.00296,0.03989,0.00798
107,0.01055,0.00308,0.04613,0.00849
108,0.01133,0.0033,0.03874,0.00798
109,0.01285,0.00372,0.05007,0.01098
110,0.01659,0.00467,0.10101,0.01602
111,0.01544,0.00441,0.03927,0.00875
112,0.01233,0.0036,0.0393,0.00847
113,0.01282,0.00377,0.04169,0.00969
114,0.01345,0.00392,0.04851,0.01122
115,0.01454,0.00429,0.04171,0.00935
116,0.01261,0.00372,0.03722,0.0081
117,0.01175,0.00341,0.03604,0.00738
118,0.00948,0.0028,0.03789,0.00767
119,0.0092,0.0027,0.03858,0.00755
120,0.00905,0.00269,0.03938,0.00747
121,0.00869,0.00254,0.04104,0.00772
122,0.00822,0.0024,0.0434,0.00815
