Epoch,loss,mse,val_loss,val_mse
0,0.54657,0.18013,9.10868,0.69221
1,0.46807,0.14838,10.95941,0.71643
2,0.42069,0.12721,10.69203,0.71436
3,0.43082,0.13149,5.78056,0.66839
4,0.37516,0.11273,1.02932,0.33708
5,0.33137,0.0972,2.84104,0.62029
6,0.34937,0.10156,1.67747,0.22871
7,0.33944,0.0959,0.66521,0.22137
8,0.31468,0.09178,0.50699,0.16222
9,0.28708,0.08418,1.13744,0.20333
10,0.28117,0.08094,0.59439,0.2006
11,0.27038,0.07619,0.74854,0.20849
12,0.23789,0.06689,1.67976,0.296
13,0.27496,0.07952,0.44479,0.12978
14,0.25564,0.07331,0.44799,0.12625
15,0.21983,0.06105,0.40368,0.1226
16,0.31194,0.0874,2.27207,0.63239
17,0.23206,0.06594,0.5045,0.14579
18,0.1574,0.04067,0.37566,0.10621
19,0.15081,0.03961,0.54599,0.16673
20,0.20329,0.05483,0.61234,0.16461
21,0.22874,0.06418,0.55773,0.12463
22,0.19179,0.05259,0.42294,0.11594
23,0.21921,0.06045,1.41655,0.26429
24,0.18897,0.04868,0.46135,0.15088
25,0.1182,0.03026,0.36567,0.09675
26,0.16434,0.04449,0.28075,0.07758
27,0.18097,0.05196,0.26108,0.07386
28,0.12626,0.03318,0.29814,0.07165
29,0.14507,0.03909,0.29787,0.08122
30,0.14938,0.03721,0.24893,0.06488
31,0.15832,0.04438,0.27163,0.06716
32,0.16251,0.04617,0.3086,0.09454
33,0.20007,0.05654,0.82306,0.19827
34,0.15708,0.04186,0.86642,0.31656
35,0.14706,0.04163,0.22009,0.0528
36,0.11134,0.02761,0.16818,0.04799
37,0.09553,0.02404,0.12155,0.03234
38,0.12727,0.03321,0.2305,0.0605
39,0.15969,0.04382,0.11458,0.03115
40,0.10947,0.02784,0.1042,0.02559
41,0.0962,0.02481,0.09791,0.02664
42,0.09137,0.02304,0.11675,0.0282
43,0.09884,0.0231,0.1476,0.03734
44,0.10151,0.02619,0.11838,0.03082
45,0.08605,0.02106,0.10332,0.02511
46,0.06356,0.01571,0.10091,0.02474
47,0.08818,0.02421,0.10917,0.02731
48,0.06065,0.01464,0.10264,0.02892
49,0.09219,0.02361,0.16183,0.04156
50,0.11491,0.0323,0.15919,0.0428
51,0.07862,0.02038,0.31594,0.09808
52,0.08072,0.02095,0.21365,0.06311
53,0.10009,0.02527,0.08869,0.02461
54,0.06034,0.01495,0.07789,0.01922
55,0.04634,0.01114,0.08391,0.01988
56,0.09337,0.02478,0.11366,0.03271
57,0.08758,0.02354,0.16529,0.04697
58,0.08058,0.02172,0.10492,0.02793
59,0.11403,0.02965,0.14501,0.03773
60,0.10518,0.02738,0.1693,0.03584
61,0.08529,0.0232,0.15788,0.03974
62,0.10342,0.02497,0.4394,0.1428
63,0.0741,0.01953,0.26965,0.08017
64,0.08147,0.02184,0.1486,0.03416
65,0.05706,0.01391,0.17996,0.05059
66,0.05705,0.01418,0.06109,0.01596
67,0.07031,0.01865,0.06969,0.01804
68,0.04064,0.01027,0.08954,0.02459
69,0.0486,0.01193,0.0886,0.02618
70,0.04831,0.0122,0.09392,0.02609
71,0.04432,0.0111,0.06784,0.01845
72,0.05334,0.01304,0.21286,0.0669
73,0.08292,0.02267,0.21375,0.0682
74,0.08623,0.0225,0.39848,0.10359
75,0.10559,0.02607,0.15623,0.03793
76,0.09477,0.02546,0.58289,0.17836
77,0.06589,0.01659,0.06979,0.01866
78,0.04707,0.01178,0.0533,0.01402
79,0.04395,0.01123,0.05574,0.01497
80,0.04242,0.01026,0.05338,0.01383
81,0.06184,0.01654,0.43561,0.15568
82,0.04612,0.01182,0.07401,0.02031
83,0.05848,0.01371,0.067,0.01822
84,0.03333,0.0079,0.06563,0.01643
