Epoch,loss,mse,val_loss,val_mse
0,0.5657,0.18142,2.74119,0.38322
1,0.31178,0.07079,0.83284,0.18363
2,0.2177,0.0405,0.64445,0.11933
3,0.16277,0.02662,0.409,0.08819
4,0.12829,0.01942,0.25053,0.05255
5,0.1049,0.01516,0.20159,0.04
6,0.08705,0.01253,0.17619,0.03461
7,0.0731,0.01071,0.13746,0.02968
8,0.06278,0.00946,0.13933,0.0292
9,0.05506,0.00856,0.11858,0.02603
10,0.05458,0.00947,0.1056,0.02444
11,0.04784,0.00846,0.12036,0.02762
12,0.0431,0.0077,0.11946,0.02756
13,0.04331,0.0083,0.10146,0.02347
14,0.03896,0.00754,0.09662,0.02277
15,0.03555,0.00692,0.08539,0.01998
16,0.03356,0.00672,0.08674,0.02065
17,0.03207,0.00657,0.0855,0.0207
18,0.03005,0.00618,0.0851,0.02048
19,0.02858,0.006,0.07676,0.01862
20,0.02732,0.0058,0.07158,0.0176
21,0.02759,0.00605,0.05247,0.01246
22,0.02496,0.00547,0.08227,0.02006
23,0.02525,0.00564,0.04566,0.01132
24,0.0247,0.00566,0.05562,0.01363
25,0.02791,0.00634,0.05617,0.013
26,0.028,0.00684,0.04749,0.01112
27,0.0264,0.0065,0.03591,0.00849
28,0.02375,0.00571,0.0362,0.00897
29,0.0228,0.00558,0.03649,0.0092
30,0.0222,0.00535,0.04181,0.01083
31,0.02126,0.00515,0.03046,0.0081
32,0.01922,0.00469,0.03576,0.009
33,0.01842,0.00447,0.02908,0.00734
34,0.0178,0.00438,0.02352,0.00611
35,0.01806,0.00446,0.03829,0.00961
36,0.01712,0.00427,0.02353,0.00614
37,0.01723,0.00439,0.02787,0.00712
38,0.01507,0.00378,0.02254,0.0058
39,0.01499,0.00377,0.02016,0.00527
40,0.01464,0.0037,0.02126,0.00547
41,0.01626,0.00398,0.05091,0.00957
42,0.03855,0.00995,0.59014,0.19055
43,0.03411,0.00919,1.27656,0.42895
44,0.03186,0.00847,0.95449,0.37318
45,0.03146,0.00853,0.52874,0.19275
46,0.02711,0.00732,0.15342,0.03407
47,0.02267,0.00608,0.03475,0.00809
48,0.02138,0.00573,0.02808,0.00735
49,0.02193,0.00586,0.03192,0.00832
50,0.01947,0.00516,0.02753,0.00689
51,0.01774,0.00471,0.02477,0.00644
52,0.01797,0.00482,0.02601,0.00696
53,0.01701,0.00456,0.02342,0.00587
54,0.01601,0.00431,0.02632,0.00712
55,0.01574,0.00423,0.02076,0.0055
56,0.01569,0.00427,0.02463,0.00664
57,0.01476,0.00403,0.02912,0.00751
58,0.01344,0.00361,0.01846,0.00486
59,0.01246,0.00337,0.01977,0.00529
60,0.01204,0.00324,0.0188,0.0049
61,0.01177,0.00318,0.01761,0.00455
62,0.01371,0.00376,0.02512,0.00679
63,0.01243,0.00341,0.01726,0.00458
64,0.01061,0.00287,0.01904,0.00504
65,0.00973,0.00263,0.01768,0.00455
66,0.00898,0.00241,0.01764,0.00461
67,0.00955,0.00261,0.01751,0.00463
68,0.01019,0.00283,0.01675,0.00447
69,0.0108,0.00299,0.02219,0.00591
70,0.01009,0.00277,0.01616,0.00429
71,0.00911,0.0025,0.01662,0.00446
72,0.0098,0.00275,0.01507,0.00392
73,0.00863,0.00237,0.01512,0.00393
74,0.00949,0.00255,0.0156,0.00392
75,0.00837,0.00228,0.01327,0.0033
76,0.00761,0.00209,0.01294,0.0032
77,0.00801,0.00222,0.01393,0.00365
78,0.00765,0.00208,0.01597,0.00427
79,0.00879,0.00243,0.01425,0.00352
80,0.00773,0.00213,0.01402,0.00358
81,0.008,0.00223,0.01351,0.00342
82,0.00753,0.0021,0.01173,0.00294
83,0.00661,0.00182,0.01165,0.00284
84,0.00571,0.00154,0.01133,0.00275
85,0.00573,0.00157,0.01278,0.00321
86,0.00556,0.00151,0.01118,0.00261
87,0.0054,0.00147,0.01339,0.00334
88,0.00921,0.00214,0.0292,0.00637
89,0.02664,0.00695,0.43212,0.03035
90,0.01979,0.00551,0.27191,0.02931
91,0.01931,0.0054,0.25578,0.02815
92,0.01494,0.00417,0.07201,0.0138
93,0.0117,0.00325,0.02027,0.00494
94,0.01126,0.00317,0.01675,0.00423
95,0.01132,0.00322,0.02521,0.00642
96,0.00977,0.00273,0.02828,0.00772
97,0.00957,0.00274,0.02429,0.00489
98,0.00866,0.00239,0.02009,0.00406
99,0.00744,0.00207,0.01371,0.00331
100,0.00709,0.00198,0.0143,0.00358
101,0.00698,0.00199,0.01685,0.00465
102,0.00706,0.00201,0.01346,0.00354
103,0.00627,0.00175,0.01208,0.00303
104,0.006,0.00169,0.01249,0.00319
105,0.00571,0.0016,0.01243,0.00302
106,0.0056,0.00158,0.01772,0.00488
107,0.00809,0.00231,0.01339,0.00347
108,0.00682,0.00194,0.01171,0.00285
109,0.00546,0.00153,0.01198,0.00297
110,0.00517,0.00144,0.0106,0.00247
111,0.00486,0.00136,0.01152,0.00284
112,0.00519,0.00147,0.01134,0.0027
113,0.00519,0.00149,0.01203,0.00294
114,0.00485,0.00138,0.01156,0.00284
115,0.00521,0.00151,0.01076,0.00254
116,0.00448,0.00126,0.01078,0.00251
117,0.0044,0.00124,0.01042,0.00243
118,0.00449,0.00125,0.01141,0.00261
119,0.00775,0.00214,0.01295,0.00334
120,0.00742,0.00217,0.01387,0.00351
121,0.00726,0.00209,0.01473,0.00371
122,0.00655,0.00191,0.01332,0.00348
123,0.00542,0.00155,0.01082,0.00268
124,0.00447,0.00125,0.00981,0.00234
125,0.00443,0.00125,0.01141,0.0027
126,0.00419,0.00119,0.01074,0.00248
127,0.00426,0.00122,0.01075,0.00249
128,0.00423,0.00121,0.01049,0.00238
129,0.0039,0.00111,0.01079,0.0025
130,0.00409,0.00118,0.01063,0.00241
131,0.00379,0.00108,0.01023,0.00223
132,0.00483,0.00138,0.01087,0.00256
133,0.00447,0.00128,0.01028,0.00236
134,0.00437,0.00126,0.01091,0.00246
135,0.00381,0.00109,0.0101,0.00223
136,0.00348,0.00099,0.01039,0.00226
137,0.0036,0.00101,0.01243,0.00266
138,0.00359,0.00102,0.01081,0.00233
139,0.00322,0.00091,0.01017,0.0022
140,0.00317,0.0009,0.01015,0.00214
141,0.0034,0.00098,0.01035,0.00218
142,0.00315,0.0009,0.01113,0.00246
143,0.00336,0.00097,0.01002,0.00215
144,0.00369,0.00104,0.01312,0.00283
145,0.01646,0.00396,0.04325,0.00998
146,0.01039,0.00289,0.03168,0.00731
147,0.00803,0.00232,0.01461,0.00348
148,0.00638,0.00185,0.01393,0.00319
149,0.01163,0.00265,0.19344,0.02734
150,0.03009,0.00784,0.2395,0.04484
151,0.02074,0.00587,0.19079,0.05461
152,0.01467,0.00421,0.02822,0.00688
153,0.01125,0.0033,0.02073,0.005
154,0.00875,0.00257,0.01588,0.00402
