Epoch,loss,mse,val_loss,val_mse
0,0.49527,0.15079,0.48985,0.0437
1,0.28129,0.06356,0.41637,0.03838
2,0.19997,0.03928,0.24812,0.03817
3,0.15437,0.02871,0.17612,0.0385
4,0.12577,0.02315,0.30118,0.07148
5,0.1067,0.01973,0.26944,0.06081
6,0.09585,0.01837,0.16379,0.03419
7,0.08254,0.01587,0.15154,0.03338
8,0.07609,0.01508,0.14281,0.03197
9,0.07461,0.01528,0.1257,0.02621
10,0.07067,0.01466,0.12476,0.02538
11,0.06844,0.01463,0.1188,0.02606
12,0.06375,0.01386,0.09022,0.01961
13,0.05971,0.01274,0.25623,0.06123
14,0.05971,0.01278,0.10478,0.02334
15,0.06206,0.01354,0.08321,0.01856
16,0.05289,0.01152,0.07341,0.01602
17,0.05116,0.01141,0.12845,0.02553
18,0.04686,0.01047,0.06198,0.01391
19,0.05116,0.01192,0.06091,0.01328
20,0.04801,0.01121,0.05554,0.01239
21,0.04389,0.0103,0.06225,0.01395
22,0.04665,0.01132,0.37149,0.11534
23,0.03992,0.00947,0.27028,0.07142
24,0.03564,0.00852,0.05041,0.01101
25,0.03923,0.0096,0.05012,0.01062
26,0.04101,0.00985,0.05207,0.01338
27,0.03282,0.00809,0.0411,0.01053
28,0.0387,0.00951,0.03886,0.00978
29,0.03058,0.00759,0.03622,0.00873
30,0.02987,0.00749,0.03138,0.00732
31,0.02803,0.00706,0.03428,0.00738
32,0.02607,0.00663,0.02839,0.00693
33,0.02618,0.00674,0.02907,0.00703
34,0.02637,0.00676,0.03212,0.00721
35,0.02343,0.00613,0.03128,0.00756
36,0.02826,0.00722,0.02802,0.00713
37,0.02508,0.00665,0.02738,0.00648
38,0.02103,0.00548,0.02385,0.00558
39,0.02156,0.00566,0.0267,0.00628
40,0.0215,0.0057,0.02276,0.00566
41,0.01958,0.00522,0.02326,0.00602
42,0.02029,0.00529,0.02501,0.00658
43,0.01972,0.00533,0.02414,0.00593
44,0.01799,0.00483,0.0199,0.00496
45,0.01745,0.00468,0.02131,0.00537
46,0.01595,0.00431,0.01969,0.00497
47,0.01711,0.00446,0.03062,0.00717
48,0.03701,0.00961,0.05453,0.01456
49,0.0281,0.00745,0.06035,0.01612
50,0.02169,0.00597,0.0241,0.00625
51,0.0196,0.0053,0.02446,0.00602
52,0.01765,0.00487,0.02399,0.0059
53,0.01592,0.0044,0.02148,0.00547
54,0.01593,0.00444,0.02121,0.0054
55,0.01591,0.00443,0.02275,0.00562
56,0.01518,0.00422,0.01974,0.005
57,0.01547,0.0043,0.02359,0.0059
58,0.01583,0.00431,0.02241,0.00575
59,0.01391,0.00389,0.02165,0.00529
60,0.01536,0.0043,0.02412,0.00584
61,0.01701,0.00468,0.02444,0.00582
62,0.01472,0.00409,0.0205,0.00504
63,0.01548,0.00427,0.03136,0.00746
64,0.02943,0.00744,0.0399,0.01017
65,0.02179,0.00597,0.03343,0.00804
66,0.02054,0.00564,0.03275,0.00814
67,0.02911,0.00795,0.04673,0.01234
68,0.01895,0.00525,0.02788,0.00733
69,0.02452,0.0069,0.02956,0.00781
70,0.01767,0.005,0.02428,0.00616
71,0.01549,0.00437,0.01952,0.00517
72,0.02161,0.00576,0.02814,0.00721
73,0.01569,0.00443,0.02292,0.00589
74,0.0134,0.00382,0.02073,0.00526
